,SP500,CVX,DOW,IBM,JNJ,K,KO,NKE,VOO,XES
SP500,1.0,0.7421,0.5161,0.8585,0.3865,0.2363,0.0027,0.7202,0.9905,0.3427
CVX,0.7421,1.0,0.0144,0.7108,0.2986,-0.1444,0.0677,0.6582,0.7647,0.1039
DOW,0.5161,0.0144,1.0,0.61,-0.0466,0.6164,-0.4007,0.6739,0.4641,0.6774
IBM,0.8585,0.7108,0.61,1.0,0.0174,0.2773,-0.305,0.7234,0.8325,0.4496
JNJ,0.3865,0.2986,-0.0466,0.0174,1.0,-0.2371,0.5517,0.2933,0.4387,-0.2783
K,0.2363,-0.1444,0.6164,0.2773,-0.2371,1.0,-0.5899,-0.2881,0.1086,0.9073
KO,0.0027,0.0677,-0.4007,-0.305,0.5517,-0.5899,1.0,0.0867,0.0999,-0.7349
NKE,0.7202,0.6582,0.6739,0.7234,0.2933,-0.2881,0.0867,1.0,0.7718,-0.1131
VOO,0.9905,0.7647,0.4641,0.8325,0.4387,0.1086,0.0999,0.7718,1.0,0.2141
XES,0.3427,0.1039,0.6774,0.4496,-0.2783,0.9073,-0.7349,-0.1131,0.2141,1.0
