,Date,IBM
0,2018-07-02,133.47
1,2018-07-03,133.19
2,2018-07-05,134.96
3,2018-07-06,135.97
4,2018-07-09,137.79
5,2018-07-10,138.09
6,2018-07-11,138.31
7,2018-07-12,139.75
8,2018-07-13,139.23
9,2018-07-16,138.81
10,2018-07-17,136.93
11,2018-07-18,137.91
12,2018-07-19,142.42
13,2018-07-20,139.66
14,2018-07-23,139.04
15,2018-07-24,139.69
16,2018-07-25,139.92
17,2018-07-26,140.0
18,2018-07-27,138.51
19,2018-07-30,138.84
20,2018-07-31,138.3
21,2018-08-01,136.94
22,2018-08-02,136.42
23,2018-08-03,140.95
24,2018-08-06,139.35
25,2018-08-07,140.29
26,2018-08-08,140.17
27,2018-08-09,139.64
28,2018-08-10,139.36
29,2018-08-13,137.66
30,2018-08-14,138.28
31,2018-08-15,138.81
32,2018-08-16,140.19
33,2018-08-17,140.89
34,2018-08-20,141.32
35,2018-08-21,140.8
36,2018-08-22,140.1
37,2018-08-23,140.22
38,2018-08-24,140.87
39,2018-08-27,141.5
40,2018-08-28,141.4
41,2018-08-29,142.32
42,2018-08-30,140.76
43,2018-08-31,141.29
44,2018-09-04,140.52
45,2018-09-05,141.47
46,2018-09-06,141.21
47,2018-09-07,140.3
48,2018-09-10,140.49
49,2018-09-11,141.3
50,2018-09-12,141.38
51,2018-09-13,143.68
52,2018-09-14,143.08
53,2018-09-17,142.7
54,2018-09-18,143.3
55,2018-09-19,143.78
56,2018-09-20,145.8
57,2018-09-21,145.99
58,2018-09-24,144.72
59,2018-09-25,143.64
60,2018-09-26,146.24
61,2018-09-27,146.14
62,2018-09-28,145.86
63,2018-10-01,147.58
64,2018-10-02,148.31
65,2018-10-03,147.8
66,2018-10-04,145.95
67,2018-10-05,143.75
68,2018-10-08,143.14
69,2018-10-09,142.03
70,2018-10-10,137.64
71,2018-10-11,134.1
72,2018-10-12,135.86
73,2018-10-15,136.13
74,2018-10-16,139.98
75,2018-10-17,129.3
76,2018-10-18,125.93
77,2018-10-19,124.53
78,2018-10-22,125.42
79,2018-10-23,126.56
80,2018-10-24,122.71
81,2018-10-25,121.97
82,2018-10-26,120.37
83,2018-10-29,115.4
84,2018-10-30,111.31
85,2018-10-31,111.34
86,2018-11-01,112.69
87,2018-11-02,111.57
88,2018-11-05,115.81
89,2018-11-06,118.76
90,2018-11-07,120.42
91,2018-11-08,120.53
92,2018-11-09,120.68
93,2018-11-12,118.1
94,2018-11-13,118.05
95,2018-11-14,117.42
96,2018-11-15,118.63
97,2018-11-16,118.76
98,2018-11-19,117.53
99,2018-11-20,114.49
100,2018-11-21,115.83
101,2018-11-23,114.48
102,2018-11-26,116.8
103,2018-11-27,117.25
104,2018-11-28,120.16
105,2018-11-29,118.67
106,2018-11-30,121.4
107,2018-12-03,122.41
108,2018-12-04,118.79
109,2018-12-06,121.05
110,2018-12-07,116.58
111,2018-12-10,118.33
112,2018-12-11,118.09
113,2018-12-12,118.36
114,2018-12-13,117.94
115,2018-12-14,117.13
116,2018-12-17,113.42
117,2018-12-18,113.95
118,2018-12-19,113.74
119,2018-12-20,110.41
120,2018-12-21,108.37
121,2018-12-24,105.08
122,2018-12-26,108.81
123,2018-12-27,111.15
124,2018-12-28,110.42
125,2018-12-31,111.04
126,2019-01-02,112.55
127,2019-01-03,110.3
128,2019-01-04,114.61
129,2019-01-07,115.42
130,2019-01-08,117.06
131,2019-01-09,117.9
132,2019-01-10,118.97
133,2019-01-11,118.65
134,2019-01-14,117.61
135,2019-01-15,118.92
136,2019-01-16,118.81
137,2019-01-17,119.36
138,2019-01-18,120.96
139,2019-01-22,119.69
140,2019-01-23,129.82
141,2019-01-24,129.47
142,2019-01-25,130.87
143,2019-01-28,131.17
144,2019-01-29,131.22
145,2019-01-30,131.27
146,2019-01-31,131.31
147,2019-02-01,131.0
148,2019-02-04,132.06
149,2019-02-05,132.42
150,2019-02-06,133.17
151,2019-02-07,131.63
152,2019-02-08,132.14
153,2019-02-11,132.42
154,2019-02-12,134.45
155,2019-02-13,135.91
156,2019-02-14,134.88
157,2019-02-15,136.41
158,2019-02-19,137.07
159,2019-02-20,136.38
160,2019-02-21,136.22
161,2019-02-22,137.62
162,2019-02-25,137.82
163,2019-02-26,138.08
164,2019-02-27,137.54
165,2019-02-28,136.51
166,2019-03-01,137.57
167,2019-03-04,136.8
168,2019-03-05,136.26
169,2019-03-06,135.37
170,2019-03-07,133.77
171,2019-03-08,133.5
172,2019-03-11,136.09
173,2019-03-12,136.66
174,2019-03-13,136.93
175,2019-03-14,137.16
176,2019-03-15,137.79
177,2019-03-18,138.56
178,2019-03-19,138.84
179,2019-03-20,137.96
180,2019-03-21,139.78
181,2019-03-22,137.81
182,2019-03-25,137.55
183,2019-03-26,138.57
184,2019-03-27,137.61
185,2019-03-28,138.28
186,2019-03-29,139.44
187,2019-04-01,141.62
188,2019-04-02,141.32
189,2019-04-03,141.94
190,2019-04-04,141.1
191,2019-04-05,141.6
192,2019-04-08,141.71
193,2019-04-09,140.44
194,2019-04-10,141.34
195,2019-04-11,142.09
196,2019-04-12,142.66
197,2019-04-15,142.21
198,2019-04-16,143.44
199,2019-04-17,137.48
200,2019-04-18,138.68
201,2019-04-22,137.26
202,2019-04-23,138.79
203,2019-04-24,138.31
204,2019-04-25,137.0
205,2019-04-26,137.8
206,2019-04-29,137.42
207,2019-04-30,138.62
208,2019-05-01,138.91
209,2019-05-02,137.95
210,2019-05-03,138.6
211,2019-05-06,138.73
212,2019-05-07,136.02
213,2019-05-08,136.38
214,2019-05-09,135.34
215,2019-05-10,135.32
216,2019-05-13,131.42
217,2019-05-14,133.31
218,2019-05-15,134.4
219,2019-05-16,135.88
220,2019-05-17,134.32
221,2019-05-20,135.12
222,2019-05-21,136.45
223,2019-05-22,136.35
224,2019-05-23,132.39
225,2019-05-24,132.28
226,2019-05-28,130.46
227,2019-05-29,129.69
228,2019-05-30,129.57
229,2019-05-31,126.99
230,2019-06-03,128.27
231,2019-06-04,132.69
232,2019-06-05,131.49
233,2019-06-06,132.22
234,2019-06-07,133.31
235,2019-06-10,134.74
236,2019-06-11,135.95
237,2019-06-12,134.87
238,2019-06-13,135.76
239,2019-06-14,135.15
240,2019-06-17,134.95
241,2019-06-18,136.38
242,2019-06-19,137.08
243,2019-06-20,138.85
244,2019-06-21,139.2
245,2019-06-24,139.35
246,2019-06-25,138.36
247,2019-06-26,138.52
248,2019-06-27,138.52
249,2019-06-28,137.9
